color,city,screename,text,latitude,longitude,created_at
small_purple,Houston,baisaboy,all i see is us 3 down my tl,29.129,-96.3097,2013-04-14 08:23:12
small_purple,Houston,AaamazingAmy,what,30.2379,-93.0085,2013-04-14 08:25:12
small_purple,Houston,bdogreyes,lol i need to go to sleep,29.9415,-95.5038,2013-04-14 09:25:33
small_purple,Houston,MrJValen,still goin lets get turned up partybus partytime atx austin 6thstreet texas followme… httptcox0rcfkcoc3,30.4106,-97.6928,2013-04-14 09:26:21
small_purple,Houston,WinkWestwood,not really its good to me ppl dont like it cause the founder racist rt tropicgerl winkwestwood cristal over rated  em expensive as shit,29.9747,-95.4387,2013-04-14 10:23:12
small_purple,Houston,bhen_870,duces houston,29.7023,-95.3748,2013-04-14 10:24:58
small_purple,Houston,estendenciaHOU,supportdmx shows up at this time as trending topic in houston httptcoshhz9r3xr7,29.7605,-95.3698,2013-04-14 10:27:25
small_purple,Houston,BrileyJade,im glad im opening and not closing,30.2477,-93.0821,2013-04-14 11:24:51
small_purple,Houston,PincheSpartacus,tjyates wow that sucks sorry dude,29.6918,-95.1739,2013-04-14 13:25:53
small_purple,Houston,baylen22,finally houston glad to be back already smell the oil and it smells like 💰💰,29.9875,-95.2759,2013-04-14 14:25:43
small_purple,Houston,Jetboi96,kkaliloveee memorial daymay 2426,29.6537,-97.5927,2013-04-14 14:26:10
small_purple,Houston,morgaaann_,like 4real,29.4177,-94.9227,2013-04-14 15:23:23
small_purple,Houston,daltongray00,amyjova im in an hbo show treme i was david morse son in no one lives check out my imdb httptcouyhttcmeyz httptcoubykbsxhfr,29.7913,-95.8331,2013-04-14 15:23:23
small_purple,Houston,channnytatum,hi👋✋👋,29.4028,-94.9157,2013-04-14 15:25:35
small_purple,Houston,ortunopedro1,fernandofiore haciendo el sueño mls,29.7166,-95.3212,2013-04-14 16:24:06
small_purple,Houston,iStephyy,dexter is seriously the sweetest boy ever i love talking to him on the phone  he has my heart,30.4534,-97.6943,2013-04-14 16:26:41
small_purple,Houston,SuckMyStrapHo,smoking a sweet ,29.0351,-95.4533,2013-04-14 17:23:43
small_purple,Houston,ricardoalgu,im at ihop houston tx httptcohxofpaquns,29.7377,-95.4785,2013-04-14 17:24:56
small_purple,Houston,QueenShaea,when you see something before it gets deletedgtgtgt isawyou 😳🙊👀😂,30.8412,-93.494,2013-04-14 17:26:20
small_purple,Houston,ChaisCourtney,beautiful bluebonnets 💙  crockett tx httptcowzwa3sxzz5,31.354,-95.4685,2013-04-14 17:28:06
small_purple,Houston,ddrizzy20,i bet theres so many gorgeous women there,29.7994,-95.789,2013-04-13 19:24:05
small_purple,Houston,Grawesomegaby,we was walkn to go with my bby maliha but she grounded c lt3,29.93,-95.484,2013-04-13 19:25:19
small_purple,Houston,_teAMOx3,shorteeeoooo teamox3 awww me either  by the ultrasound pic she guna be a happy babyiknoo she was already smilinnn and wavin haha,29.911,-95.4152,2013-04-13 19:25:32
small_purple,Houston,ddrizzy20,longjohn93 the receiver shouldnt have stopped lol,29.7993,-95.7891,2013-04-13 19:26:09
small_purple,Houston,Flaqkaaa_71308,16  c,29.6917,-95.2779,2013-04-13 19:26:42
small_purple,Houston,MaiLynLatham,your what i need,30.5366,-97.551,2013-04-13 20:26:35
small_purple,Houston,gabeguillory,jeffreyithink well im successfully taking a shower so thats the first step,30.1659,-93.2427,2013-04-13 21:23:55
small_purple,Houston,LICK_THECAKE15,i got oomfs heart in my pocket  cuz we aint gonna never end,29.9995,-95.6285,2013-04-13 21:25:38
small_purple,Houston,ozkarjovel,arive at the park,29.8592,-95.6453,2013-04-13 21:26:35
small_purple,Houston,elenaa_kitty,goldenboy2369 hahaha😋,29.7738,-95.3678,2013-04-13 22:25:10
small_purple,Houston,thapowerofwords,i still havent done anything all day,30.3545,-97.5263,2013-04-13 23:23:27
small_purple,Houston,I_Fuck_Hoes,nf/damnndemii,30.6839,-95.723,2013-04-14 00:24:17
small_purple,Houston,sozavac,just posted a photo  bayou music center httptcofyrduyh5ev,29.7625,-95.3672,2013-04-14 01:24:26
small_purple,Houston,pimaki,dinner with the family  buffalo wild wings httptcoiechg2bbqr,29.7903,-95.7198,2013-04-14 02:23:39
small_purple,Houston,thapowerofwords,tha less you talk the more i listen,30.3666,-97.5215,2013-04-14 03:23:23
small_purple,Houston,EmilyHoffman4,i feel like im missing stuff,29.7388,-94.8453,2013-04-14 03:23:35
small_purple,Houston,NonsenseCurse_,im having twins dude screw youu,29.9194,-95.4525,2013-04-14 03:24:53
small_purple,Houston,marialuv_1D,minotadeamor esa se parece a mi lolp,30.702,-95.5258,2013-04-14 03:25:44
small_purple,Houston,maddieudall123,i dedicate the song stupid hoe to you,29.5997,-94.9932,2013-04-14 04:23:10
small_purple,Houston,KILLChery,im bored i wanna text someone,29.7749,-94.9129,2013-04-14 04:23:31
small_purple,Houston,_theparma34,single but i want oomf,30.2349,-95.5775,2013-04-14 04:24:26
small_purple,Houston,NonsenseCurse_,junebugbitch269 well clearly not im nit a fellow lol im not a dude im a lady d,29.9195,-95.4526,2013-04-14 04:25:20
small_purple,Houston,cassandrahlee,my goodness i love four lokos,30.5915,-96.3302,2013-04-14 04:25:22
small_purple,Houston,ObeyDeesNuts,ill be out then,29.8655,-95.7277,2013-04-14 05:24:28
small_purple,Houston,CodyGerou,that asshole spider got me acting like a bitch,30.5647,-97.6711,2013-04-14 05:25:44
small_purple,Houston,tx713girl,i need to have a baby asap taxdeductible,29.8557,-95.3644,2013-04-14 05:26:09
small_purple,Houston,clarissadflores,my throat is killing me,29.8632,-95.6279,2013-04-14 05:26:50
small_purple,Houston,Laurenwhite16,you really frustrate me and piss me off if only you could see things for how they really are,30.2245,-93.3118,2013-04-14 05:27:20
small_purple,Houston,mshorty_hammond,😓,29.9568,-93.958,2013-04-14 06:23:10
small_purple,Houston,7Suzette,fuck i forgot what i was gonna tweet 😒,29.6577,-95.3043,2013-04-14 06:26:56
small_purple,Houston,shes_brittish,with my boo  toc bar httptcoq4amghhngi,29.764,-95.3611,2013-04-14 06:27:24
small_purple,Houston,screamradius,what are people saying locally about houston texas find out here httptcoe59ktreosc,29.735,-95.4118,2013-04-14 07:24:47
small_purple,Houston,_OMGitsJudyy,aworldruler,30.9893,-94.8008,2013-04-14 07:25:06
small_purple,Houston,_taythibodeaux,snuggling with coy boy tonight gtgtgtgt😍 alltimefavorite,30.0233,-93.0632,2013-04-14 07:25:14
small_purple,Houston,TerezLatrell_,keep that ass jumpin,30.4472,-95.5623,2013-04-14 07:26:35
small_purple,Houston,orbanda,thatmfjeremy vente guey  /
puro desmadre,29.7361,-95.3481,2013-04-14 07:27:30
small_purple,Houston,kadedemarie2,shout out to laquinn18 for the solid he did about a year and 9 months ago,30.1947,-93.2088,2013-04-12 19:40:06
small_purple,Houston,breewalker_,ugggggggg i dont feel like staying here tonight,30.5631,-97.6679,2013-04-12 22:40:34
small_purple,Houston,Cj_redden93,its been one of those flagaline type of days,29.8928,-95.709,2013-04-12 22:41:08
small_purple,Houston,morgaaann_,otc tomorrow im tryna get tan,29.4177,-94.9228,2013-04-12 23:42:19
small_purple,Houston,likealion_ryan,wtf twitter,28.8236,-96.9834,2013-04-13 00:40:37
small_purple,Houston,FrankyyV512,can anything get worse  ,30.3486,-97.7105,2013-04-13 00:40:46
small_purple,Houston,TheJerry7,i want todo something today ,29.8654,-95.649,2013-04-13 01:40:32
small_purple,Houston,ihoop2013,my feet already feel funny,31.3127,-94.7239,2013-04-13 01:42:16
small_purple,Houston,FrankyyV512,i never seen  touched or hugged my dad ,30.3486,-97.7103,2013-04-13 02:51:47
small_purple,Houston,Luyz94,make it happen,30.3455,-97.7107,2013-04-13 02:52:37
small_purple,Houston,Gustavooo17,i should slam my car on its coils on sunday for fun,29.6567,-95.2258,2013-04-13 03:51:06
small_purple,Houston,devyntowery,i find nowadays its better to just keep to your self😌,28.7094,-97.1965,2013-04-13 03:51:46
small_purple,Houston,OMG_TheBoss,i remember one bus ride we were gang fightin the left side against the right and the coaches got mad af lol,31.6095,-94.6622,2013-04-13 03:52:39
small_purple,Houston,Zach_X_Ramirez,yup im feelin sleepy ,28.9739,-95.4814,2013-04-13 03:52:49
small_purple,Houston,RastaGrinch79,pushin it to houston,30.8373,-95.4162,2013-04-13 03:53:08
small_purple,Houston,jezzlito,feeling blessed feeling good que mas quierooo,29.7706,-95.6091,2013-04-13 03:54:04
small_purple,Houston,haleeybabaay,theprodigy69 whyyy o,29.6543,-95.0824,2013-04-13 04:52:17
small_purple,Houston,Oz3178,he is done bro fuccckkkkk /
yall have to win it for him lakers stop being bushes and win it for the greatest of all time,29.8866,-95.7001,2013-04-13 04:52:34
small_purple,Houston,Alisalazar3,it hurts so bad i just wanna cry😢😷,30.1788,-97.7599,2013-04-13 04:52:35
small_purple,Houston,TheBoyGeniuss,i dont regret my past i just regret the time ive wasted  on wrong people deeptweet,29.0982,-97.2814,2013-04-13 04:53:19
small_purple,Houston,MaiLynLatham,you got me stuck on stupid,30.5366,-97.551,2013-04-13 05:51:36
small_purple,Houston,KingHarrington6,vickers walk you piece of shit,29.6865,-95.134,2013-04-13 06:56:02
small_purple,Houston,KingHarrington6,kpeevs haydenhamburger he looks just like him,29.6865,-95.1342,2013-04-13 07:51:18
small_purple,Houston,jolie__laide,my problem is i dont like taking help i have too much pride but im always here for people to lean on thats just me though,29.9406,-95.2688,2013-04-13 07:52:05
small_purple,Houston,Ivaaan_17,just chilling in my toilet,30.4758,-97.6537,2013-04-13 09:52:35
small_purple,Houston,morgaaann_,“euniqueee morgaaann i wonder if lakota amp them are up so i can go over im the only one up lol ” lol forreal im gonna come at 9,29.4176,-94.9229,2013-04-13 13:51:55
small_purple,Houston,MrgnW8,tiger cheating wouldnt be the first time masters augusta,29.5444,-95.1357,2013-04-13 13:51:56
small_purple,Houston,SarahMakahani,i love how desi parents all magically become doctors when somebody gets sick whoneedsmedschool,29.6012,-95.1351,2013-04-13 16:52:39
small_purple,Houston,Rissa_Devonn,i did go to sleep at 4 so i guess getting my 8hrs in is alright but damn its way too late in the day to be asleep,29.6613,-95.1745,2013-04-13 16:52:42
small_purple,Houston,nick_burrell,morganolivia18 please dont,30.5907,-96.3026,2013-04-13 16:53:01
small_purple,Houston,Sophistaphonk,fredthevillain yay,29.7008,-95.3097,2013-04-13 16:53:41
small_purple,Houston,__Osobeautiful, noooooo  yall were too cute thoo 💔,29.6857,-95.2023,2013-04-13 17:51:17
small_purple,Houston,radleyhardy,heartbreaker here love these trucks ford f100 legends dragandrodrun sealytx pickup  lonestar… httptcomljetnuyyx,29.7496,-96.2832,2013-04-13 17:53:19
small_purple,Houston,I_Am_KiaMorgz,these pain killers should do it for me,29.7219,-95.3496,2013-04-13 18:51:56
small_purple,Houston,RipRashad,dtanigga stop it,29.7323,-95.3783,2013-04-13 18:54:42
small_purple,Houston,_LilMermaidd,somebody come get me,29.5406,-95.7393,2013-04-13 18:54:44
